blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,redWardsPlaced,redWardsDestroyed,redFirstBlood,redAssists,redEliteMonsters,redDragons,redHeralds,redTowersDestroyed,redTotalGold,redAvgLevel,redTotalExperience,redTotalJungleMinionsKilled,redCSPerMin,blue_kda_ratio,blue_vision_advantage,kills_diff,elite_monster_diff,resultado_label,categoria_gold,first_blood_label,dragon_label
1,17,6,0,10,6,13,0,0,0,0,18348,6.6,17087,52,1864,-797,19.5,19,4,1,7,1,1,0,0,16484,7.0,17884,59,21.1,0.625,13,4,-1,Vitoria Azul,Forte Vantagem,Sem First Blood,0 Dragoes
1,19,5,1,6,2,6,1,1,0,0,17354,7.4,19609,64,2944,3092,26.3,21,6,0,2,0,0,0,0,14410,6.4,16517,44,23.2,0.75,13,4,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
0,15,5,1,9,7,10,1,1,0,0,17102,7.2,18327,46,339,261,20.7,18,4,0,10,1,0,1,0,16763,6.8,18066,45,25.2,0.5625,11,2,0,Derrota Azul,Leve Vantagem,Com First Blood,1 Dragao
0,16,5,1,12,3,14,1,1,0,0,19031,7.4,18999,40,4188,2399,23.4,19,1,0,2,1,0,1,0,14843,6.6,16600,52,20.7,0.8,15,9,0,Derrota Azul,Forte Vantagem,Com First Blood,1 Dragao
1,17,5,1,6,6,6,0,0,0,0,16621,6.6,17333,44,282,399,22.0,19,2,0,8,0,0,0,0,16339,6.8,16934,53,21.6,0.5,15,0,0,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
0,18,2,0,4,6,0,0,0,0,0,14827,6.6,17370,55,-2713,-1237,20.7,20,6,1,11,2,1,1,0,17540,7.2,18607,56,24.7,0.4,12,-2,-2,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
1,21,2,0,6,2,8,0,0,0,0,16818,6.8,16961,52,1448,-664,20.4,19,4,1,2,1,1,0,0,15370,7.0,17625,60,25.0,0.75,17,4,-1,Vitoria Azul,Leve Vantagem,Sem First Blood,0 Dragoes
1,18,6,1,8,6,8,1,1,0,0,17505,7.2,19310,59,786,1888,22.3,17,2,0,7,0,0,0,0,16719,6.6,17422,44,22.0,0.5714285714285714,16,2,1,Vitoria Azul,Leve Vantagem,Com First Blood,1 Dragao
1,22,2,1,6,6,4,0,0,0,0,16192,7.0,18524,59,34,985,21.8,15,2,0,7,1,1,0,0,16158,6.8,17539,41,20.9,0.5,20,0,-1,Vitoria Azul,Leve Vantagem,Com First Blood,0 Dragoes
1,19,4,1,14,4,11,1,1,0,0,20351,7.4,19996,72,5057,3423,22.5,23,1,0,3,0,0,0,0,15294,6.6,16573,43,19.7,0.7777777777777778,18,10,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
1,13,2,1,16,4,17,1,1,0,1,19651,7.0,18318,36,5195,2289,20.0,12,1,0,3,0,0,0,0,14456,6.4,16029,52,17.9,0.8,12,12,1,Vitoria Azul,Forte Vantagem,Com First Blood,1 Dragao
1,16,1,1,5,4,2,0,0,0,0,15215,6.6,16664,41,0,-368,21.2,37,1,0,5,1,1,0,0,15215,6.8,17032,55,19.7,0.5555555555555556,15,1,-1,Vitoria Azul,Leve Desvantagem,Com First Blood,0 Dragoes
0,16,3,0,8,11,9,0,0,0,0,16371,6.6,16354,40,-1867,-2002,20.1,15,5,1,11,1,1,0,0,18238,7.2,18356,52,19.0,0.42105263157894735,11,-3,-1,Derrota Azul,Forte Desvantagem,Sem First Blood,0 Dragoes
